name,user_score,critics,users,rating,rating_top,playtime,achievements_count,ratings_count,suggestions_count,game_series_count,reviews_count,added_status_yet,added_status_owned,added_status_beaten,added_status_toplay,added_status_dropped,added_status_playing,released_year,released_month,released_day,updated_year,updated_month,updated_day,is_in_top_100_publisher,is_in_top_100_developer,genery,platform,publisher,developer
The Sims 3,6.6,39,65,3.96,4,10,119,464,538,7,466,35,954,353,11,233,26,2009,6,2,2019,11,24,1,0,Simulation,PC,Electronic Arts,Electronic Arts
Wade Hixton's Counter Punch,8.2,13,6,0.0,0,0,0,0,239,0,0,0,1,0,1,0,0,2004,3,15,2019,9,12,0,0,Sports,Game Boy Advance,Destination Software,Inferno Games
Baldur's Gate: Dark Alliance II,8.3,44,64,4.14,4,0,0,14,311,0,14,5,5,9,8,5,0,2004,1,20,2019,9,7,1,0,Role-Playing,PlayStation 2,Interplay Productions,Black Isle Studios
NASCAR Thunder 2004,7.5,9,12,0.0,0,0,0,2,342,0,2,0,4,0,1,2,0,2003,9,1,2019,8,28,1,0,Driving,PC,Electronic Arts,Electronic Arts Tiburon
Freekstyle,8.5,11,4,0.0,0,0,0,4,280,0,4,0,1,4,2,0,0,2002,6,17,2019,8,28,0,0,Driving,Game Boy Advance,Electronic Arts,Full Fat
Dynasty Warriors 3,8.8,17,103,0.0,4,0,0,5,157,0,5,0,5,6,1,2,0,2002,12,30,2019,7,23,1,0,Action,PlayStation 2,Koei,Omega Force
Shadow of Destiny,8.4,18,24,3.7,4,0,0,10,470,0,10,5,4,8,5,1,0,2002,11,21,2019,10,20,1,0,Adventure,PSP,Konami,RuneCraft
Midnight Club: Street Racing,7.6,18,29,0.0,0,0,0,3,204,4,4,1,2,3,3,2,0,2000,10,25,2020,1,14,0,0,Driving,Game Boy Advance,Rockstar Games,Rebellion
Sphinx and the Cursed Mummy,8.5,28,46,0.0,0,1,34,2,597,0,2,3,37,0,4,1,1,2017,11,9,2019,8,28,1,0,Action Adventure,PC,THQ Nordic,THQ Nordic
Lost Ember,7.5,16,60,3.5,4,1,42,25,421,0,26,28,92,11,86,6,2,2019,11,19,2019,12,18,0,0,Action Adventure,PC,Mooneye Studios,Mooneye Studios
Madden NFL 12,6.0,55,100,2.77,4,1,73,30,395,0,30,7,173,10,0,19,1,2011,8,30,2019,10,23,1,1,Sports,Wii,Electronic Arts,Electronic Arts
A Way Out,7.9,62,734,4.08,4,4,27,822,503,0,838,123,1410,755,337,79,49,2018,3,23,2020,8,27,1,0,Action Adventure,PC,Electronic Arts,Electronic Arts
Rock Band Blitz,6.1,7,16,4.0,4,1,50,22,273,0,22,2,97,10,0,8,0,2012,8,28,2019,9,17,0,0,Action,PlayStation 3,Harmonix,Harmonix Music Systems
Lost Odyssey,8.4,68,509,4.05,4,11,42,105,648,0,105,29,511,46,17,46,5,2007,12,6,2020,8,3,1,0,Role-Playing,Xbox One,Microsoft Studios,Mistwalker
Rez,8.3,34,30,4.41,5,0,0,17,239,0,17,2,14,12,8,4,1,2001,11,22,2019,8,28,1,0,Action,Dreamcast,SEGA,Sonic Team
Klonoa 2: Dream Champ Tournament,8.5,20,15,0.0,0,0,0,3,351,4,3,0,1,2,4,2,0,2002,8,6,2019,8,28,0,0,Action,Wii U,Bandai Namco Entertainment,Bandai Namco Entertainment
Death Road to Canada,5.9,14,8,3.69,4,4,196,52,426,0,55,35,325,23,15,25,7,2016,7,20,2019,9,17,0,0,Action,Android,Ukiyo Publishing,UKIYO PUBLISHING
Doki Doki Literature Club!,8.5,7,513,4.05,4,3,0,715,211,0,732,168,1909,729,61,103,28,2017,9,22,2020,7,19,0,0,Adventure,macOS,Team Salvato,Team Salvato
Fallout 4 VR,5.1,27,69,3.56,4,2,50,27,163,0,27,16,152,3,4,18,10,2017,12,12,2020,7,6,1,1,Role-Playing,PC,Bethesda Softworks,Bethesda Game Studios
Indivisible,6.4,21,55,3.39,3,2,50,64,817,0,66,34,468,20,85,42,11,2019,10,7,2020,12,16,1,0,Role-Playing,PC,505 Games,Lab Zero Games
